state,observation,empft,emppt,nmgrs,fte
Pennsylvania,February 1992,30,15,3,40.5
Pennsylvania,February 1992,6.5,6.5,4,13.75
Pennsylvania,February 1992,3,7,2,8.5
Pennsylvania,February 1992,20,20,4,34
Pennsylvania,February 1992,6,26,5,24
Pennsylvania,February 1992,0,31,5,20.5
Pennsylvania,February 1992,50,35,3,70.5
Pennsylvania,February 1992,10,17,5,23.5
Pennsylvania,February 1992,2,8,5,11
Pennsylvania,February 1992,2,10,2,9
Pennsylvania,February 1992,2.5,20,3,15.5
Pennsylvania,February 1992,40,30,3,58
Pennsylvania,February 1992,8,27,5,26.5
Pennsylvania,February 1992,10.5,30,3,28.5
Pennsylvania,February 1992,6,9,3,13.5
Pennsylvania,February 1992,5,17.5,3,16.75
Pennsylvania,February 1992,1,15,1,9.5
Pennsylvania,February 1992,10,6,2,15
Pennsylvania,February 1992,20,13,3,29.5
Pennsylvania,February 1992,5,23,2,18.5
Pennsylvania,February 1992,10,12.5,4,20.25
Pennsylvania,February 1992,27,12,3,36
Pennsylvania,February 1992,4,28,3,21
Pennsylvania,February 1992,10,15,3,20.5
Pennsylvania,February 1992,0,28,5,19
Pennsylvania,February 1992,3,16,3,14
Pennsylvania,February 1992,7,16,4,19
Pennsylvania,February 1992,21,9,7,32.5
Pennsylvania,February 1992,1,32,2,19
Pennsylvania,February 1992,10,20,7,27
Pennsylvania,February 1992,0,27,6,19.5
Pennsylvania,February 1992,17,4,5,24
Pennsylvania,February 1992,0,24,6,18
Pennsylvania,February 1992,25,15,NA,NA
Pennsylvania,February 1992,6,20,3,19
Pennsylvania,February 1992,6,10,3,14
Pennsylvania,February 1992,0,15,3,10.5
Pennsylvania,February 1992,30,10,3,38
Pennsylvania,February 1992,8,25,3,23.5
Pennsylvania,February 1992,0,15,3,10.5
Pennsylvania,February 1992,10,20,5,25
Pennsylvania,February 1992,2,12,3,11
Pennsylvania,February 1992,20,25,4,36.5
Pennsylvania,February 1992,20,55,5,52.5
Pennsylvania,February 1992,10,30,4,29
Pennsylvania,February 1992,15,50,5,45
Pennsylvania,February 1992,1,37.5,3,22.75
Pennsylvania,February 1992,0,9,3,7.5
Pennsylvania,February 1992,0,25,3,15.5
Pennsylvania,February 1992,30,10,3,38
Pennsylvania,February 1992,4,19,4,17.5
Pennsylvania,February 1992,12,20,3,25
Pennsylvania,February 1992,NA,NA,3,NA
Pennsylvania,February 1992,8,18,4,21
Pennsylvania,February 1992,0,25,3,15.5
Pennsylvania,February 1992,2,21,3,15.5
Pennsylvania,February 1992,1,9,3,8.5
Pennsylvania,February 1992,5,20,3,18
Pennsylvania,February 1992,8,17.5,4,20.75
Pennsylvania,February 1992,25,20,4,39
Pennsylvania,February 1992,37.5,2,3,41.5
Pennsylvania,February 1992,5,27,4,22.5
Pennsylvania,February 1992,25,8,3,32
Pennsylvania,February 1992,6,30,3,24
Pennsylvania,February 1992,8,28,4,26
Pennsylvania,February 1992,32,25,4,48.5
Pennsylvania,February 1992,1,9,3,8.5
Pennsylvania,February 1992,4,25,2,18.5
Pennsylvania,February 1992,2,16,3,13
Pennsylvania,February 1992,12,15,3,22.5
Pennsylvania,February 1992,20,10,3,28
Pennsylvania,February 1992,14,15,3,24.5
Pennsylvania,February 1992,7.5,14,4,18.5
Pennsylvania,February 1992,7,25,4,23.5
Pennsylvania,February 1992,4,16,3,15
Pennsylvania,February 1992,5,20,3,18
Pennsylvania,February 1992,6,22.5,3,20.25
Pennsylvania,February 1992,2.5,20,3,15.5
Pennsylvania,February 1992,2,30,4,21
New Jersey,February 1992,0,22,4,15
New Jersey,February 1992,0,20,5,15
New Jersey,February 1992,10,20,4,24
New Jersey,February 1992,4.5,25.5,2,19.25
New Jersey,February 1992,0,25,9,21.5
New Jersey,February 1992,0,13,3,9.5
New Jersey,February 1992,30,20,4,44
New Jersey,February 1992,NA,10,3,NA
New Jersey,February 1992,0,34,4,21
New Jersey,February 1992,20,10,3,28
New Jersey,February 1992,0,14,3,10
New Jersey,February 1992,0,35,3,20.5
New Jersey,February 1992,15,15,3,25.5
New Jersey,February 1992,0,30,4,19
New Jersey,February 1992,5,19,2,16.5
New Jersey,February 1992,9,10,3,17
New Jersey,February 1992,0,45,5,27.5
New Jersey,February 1992,2,2,2,5
New Jersey,February 1992,10,8,2,16
New Jersey,February 1992,30,15,4,41.5
New Jersey,February 1992,4,10,4,13
New Jersey,February 1992,6,4,2,10
New Jersey,February 1992,4,16,3,15
New Jersey,February 1992,12,20,4,26
New Jersey,February 1992,8,12,4,18
New Jersey,February 1992,6,50,4,35
New Jersey,February 1992,13,10,3,21
New Jersey,February 1992,25,13,3,34.5
New Jersey,February 1992,8,14.5,3,18.25
New Jersey,February 1992,12.5,20,2,24.5
New Jersey,February 1992,7,20,3,20
New Jersey,February 1992,10,6,3,16
New Jersey,February 1992,0,25,5,17.5
New Jersey,February 1992,12.5,10,3,20.5
New Jersey,February 1992,4,26,3,20
New Jersey,February 1992,6.5,7.5,2,12.25
New Jersey,February 1992,20,20,3,33
New Jersey,February 1992,15,25,4,31.5
New Jersey,February 1992,NA,NA,2,NA
New Jersey,February 1992,0,30,3,18
New Jersey,February 1992,10,30,3,28
New Jersey,February 1992,5,17,3,16.5
New Jersey,February 1992,8.5,6.5,3,14.75
New Jersey,February 1992,4.5,30,4,23.5
New Jersey,February 1992,1,12,3,10
New Jersey,February 1992,35,15,4,46.5
New Jersey,February 1992,10,5,3,15.5
New Jersey,February 1992,8,25,4,24.5
New Jersey,February 1992,12,18,3,24
New Jersey,February 1992,4,30,4,23
New Jersey,February 1992,20,10,3,28
New Jersey,February 1992,12,33,4,32.5
New Jersey,February 1992,10,20,3,23
New Jersey,February 1992,4,20,3,17
New Jersey,February 1992,5,42,4,30
New Jersey,February 1992,8,19,4,21.5
New Jersey,February 1992,23,10,4,32
New Jersey,February 1992,0,10,3,8
New Jersey,February 1992,15,35,3,35.5
New Jersey,February 1992,15,25,4,31.5
New Jersey,February 1992,25,10,3,33
New Jersey,February 1992,15,8,3,22
New Jersey,February 1992,13,12,4,23
New Jersey,February 1992,10,18,4,23
New Jersey,February 1992,0,13,2,8.5
New Jersey,February 1992,4,11,3,12.5
New Jersey,February 1992,0,15,2,9.5
New Jersey,February 1992,5,10,3,13
New Jersey,February 1992,5,16,4,17
New Jersey,February 1992,3,8,2,9
New Jersey,February 1992,8,12,5,19
New Jersey,February 1992,5,9,2,11.5
New Jersey,February 1992,3,14,3,13
New Jersey,February 1992,20,46,5,48
New Jersey,February 1992,18,45,5,45.5
New Jersey,February 1992,4,16,3,15
New Jersey,February 1992,10,10,3,18
New Jersey,February 1992,2.5,27,5,21
